"subject","rt","transition","trial","error","error_trim","transcode"
"A014297063OPPUEBTOLM",2143,"Repeat",2,0,0,0
"A014297063OPPUEBTOLM",698,"Repeat",3,0,0,0
"A014297063OPPUEBTOLM",653,"Repeat",4,0,0,0
"A014297063OPPUEBTOLM",1652,"Switch",5,0,0,1
"A014297063OPPUEBTOLM",1368,"Switch",6,0,0,1
"A014297063OPPUEBTOLM",2766,"Switch",7,0,0,1
"A014297063OPPUEBTOLM",1212,"Repeat",8,0,0,0
"A014297063OPPUEBTOLM",1324,"Switch",9,0,0,1
"A014297063OPPUEBTOLM",1979,"Repeat",10,0,0,0
"A014297063OPPUEBTOLM",1164,"Repeat",11,0,0,0
"A014297063OPPUEBTOLM",1795,"Switch",12,0,0,1
"A014297063OPPUEBTOLM",1339,"Repeat",13,0,0,0
"A014297063OPPUEBTOLM",1146,"Repeat",14,0,0,0
"A014297063OPPUEBTOLM",1062,"Repeat",15,0,0,0
"A014297063OPPUEBTOLM",621,"Repeat",16,0,0,0
"A014297063OPPUEBTOLM",1334,"Switch",17,0,0,1
"A014297063OPPUEBTOLM",1151,"Switch",18,0,0,1
"A014297063OPPUEBTOLM",886,"Repeat",19,0,0,0
"A014297063OPPUEBTOLM",1857,"Repeat",20,0,0,0
"A014297063OPPUEBTOLM",1850,"Switch",21,0,0,1
"A014297063OPPUEBTOLM",981,"Repeat",22,0,0,0
"A014297063OPPUEBTOLM",1031,"Repeat",23,0,0,0
"A014297063OPPUEBTOLM",997,"Repeat",24,0,0,0
"A014297063OPPUEBTOLM",1199,"Repeat",25,0,0,0
"A014297063OPPUEBTOLM",1116,"Switch",26,0,0,1
"A014297063OPPUEBTOLM",1300,"Switch",27,0,0,1
"A014297063OPPUEBTOLM",1577,"Repeat",28,0,0,0
"A014297063OPPUEBTOLM",2363,"Switch",29,0,0,1
"A014297063OPPUEBTOLM",1503,"Repeat",30,0,0,0
"A014297063OPPUEBTOLM",1531,"Switch",31,0,0,1
"A014297063OPPUEBTOLM",1422,"Switch",32,0,0,1
"A014297063OPPUEBTOLM",931,"Repeat",33,0,0,0
"A014297063OPPUEBTOLM",1086,"Repeat",34,0,0,0
"A014297063OPPUEBTOLM",1154,"Repeat",35,0,0,0
"A014297063OPPUEBTOLM",1010,"Repeat",36,0,0,0
"A014297063OPPUEBTOLM",1055,"Repeat",37,0,0,0
"A014297063OPPUEBTOLM",1442,"Repeat",38,0,0,0
"A014297063OPPUEBTOLM",1181,"Switch",39,0,0,1
"A014297063OPPUEBTOLM",1314,"Repeat",40,0,0,0
"A014297063OPPUEBTOLM",1270,"Repeat",41,0,0,0
"A014297063OPPUEBTOLM",1014,"Repeat",42,0,0,0
