screen_width,window_height,workerId,age,totalTime_mins,comments,window_width,curId,race,vision,curTime,gender,ethnicity,screen_height
1366,675,A2YISXFTY3969X,22,23.07345,,1316,304SM51WA4OHIVOLE8XM8FDTNLMSBT,white,normal,05/11/2018@17:56:25,male,not_hispanic,768
1280,675,A202BACMRH2JRQ,30,21.5428,,1217,30BXRYBRP5HKGP8GY5HJRFJCOAUWHX,white,normal,05/11/2018@16:54:17,female,not_hispanic,800
1600,616,A014297063OPPUEBTOLM,45,29.9010333333,Interesting task. Thank you.,1516,3137ONMDKHPCZTRETZ5VK90B26FEG3,white,normal,05/11/2018@16:15:55,female,not_hispanic,900
1517,677,A2CN43OJX0W3HC,36,24.9004,,1420,31IBVUNM9TJNN4H5D5ON2SOL1MGFV9,black,normal,05/11/2018@16:01:32,female,not_hispanic,853
1600,675,AUZ3YWTVBISNH,29,20.7435333333,Thank you!,1516,324G5B4FB4SUFA1JSP2MT7LE92J704,black,corrected,05/11/2018@17:07:55,male,not_hispanic,900
1440,675,A2T79473SWZ0L6,32,20.7289,,1390,32KTQ2V7REZVW7WJWRN450JX7V89MT,white,corrected,05/11/2018@15:52:45,female,not_hispanic,900
1600,616,A2CNNBX9KLQUQJ,51,25.4089166667,,1516,33CID57105DPBNPIF6LFEA1M7YS3LO,white,corrected,05/11/2018@17:28:49,male,not_hispanic,900
1920,616,A2Q7BWWDXGQJQR,34,20.6670833333,,1853,33L7PJKHCHIZVX3T0WI2RIJEHXO8T6,white,normal,05/11/2018@15:59:36,male,not_hispanic,1080
1366,616,A17FGZ1I5P9RZA,50,28.0825,,1266,33M4IA01QHLCUJR94FPZ72ZPKK7RXP,"white,indian",normal,05/11/2018@11:56:50,female,not_hispanic,768
1280,616,A2BEH9YQPHKP6A,47,18.75355,,1230,34HJIJKLP6GDPOKGTOS4BORUCW64V9,white,normal,05/11/2018@16:05:50,female,not_hispanic,800
1920,887,A1ROEDVMTO9Y3X,50,35.8392166667,,1665,34HJIJKLP6GDPOKGTOS4BORUCWWV4Q,white,normal,05/11/2018@18:58:30,female,not_hispanic,1080
1280,675,A1B860YTPA8W3N,19,84.8389666667,Nope.,1180,34YB12FSQZ8ABHJRAXTEXH5KB83GMR,white,normal,05/11/2018@17:56:48,female,not_hispanic,720
1366,677,A1KLWHCGSS8WXD,33,27.8938666667,,1282,354P56DE9LNUGJLV1RL63DRX4U9S7J,white,corrected,05/11/2018@17:59:17,male,not_hispanic,768
1280,675,A8K10C0SKKUDQ,23,22.2155,It was fun,1230,3570Y55XZQ3A5Y85T0HPRCSRKIIGYI,other,normal,05/11/2018@16:57:12,male,hispanic,800
1440,751,A3P13IDJTC9297,53,21.9525166667,thank you!,1259,35GMH2SV3F10R68CHII3PI9DTSUOEO,other,normal,05/11/2018@17:49:03,female,hispanic,900
1366,675,A1XXDPBNE3TW0W,43,25.3621,none,1282,369J354OFEU8MEYZNHMX8L8YL9J6G4,white,normal,05/11/2018@18:04:05,female,hispanic,768
1920,675,A24O3ZRQ9MEAHN,27,22.0528333333,,1853,374TNBHA8CF1IN2JWWM1LQWTQ5QYQU,white,normal,05/11/2018@16:57:53,female,not_hispanic,1080
1920,675,A1NP7GSYXECK2H,30,27.1786833333,,1855,379J5II41P0SLL5F4Q2BX15JYNYEL6,other,corrected,05/11/2018@17:00:14,female,not_hispanic,1080
1366,675,A1YDPMA6J1Q9G7,32,33.3645666667,"
this was fun! Please consider me for further projects. Thanks!",1161,37FMASSAYDBSOHLP9W384D76EMSBIQ,white,corrected,05/11/2018@16:08:17,female,hispanic,768
1280,676,AL7UTA8J27TFK,63,32.56905,the numbers on the sides of object threw me off. Could not figure out the intent of them.,1334,37QW5D2ZRH6YGXQEBWDCHDNSFE8S8Z,white,normal,05/11/2018@16:05:54,male,not_hispanic,720
1280,675,A2MM10557W7PLD,35,24.4363833333,"Terrible pay. If your task requires repetitive actions, such as clicking. Please present that in your consent sheet. I have arthritis and had I known this survey required that amount of clicking, I would have never taken it. Especially not for what comes out to 3 dollars an hour. Have some compassion and respect for the people feeding your studies. ",1230,386PBUZZXGH0W1R7IRD2UHIB3WOJLS,white,normal,05/11/2018@16:14:51,male,not_hispanic,800
1536,616,A1H6831WVE7HSY,33,26.1213833333,,1237,39GHHAVOMGB4YTKMCZEL80G0H904JP,"white,other",impaired,05/11/2018@17:01:09,female,hispanic,864
1536,754,A1MFBQCJDFFSZO,38,38.49755,"I struggled quite a bit during the last task. My fingers started cramping and seeing the colors and shapes separated like it was through me off my game. I hope this won't affect my approval rating. I was paying extremely close attention during all the tasks, but found myself flubbing on that last one. Anyway, thank you for allowing me to participate in your study! Have a great day!",1454,39GXDJN2OUYE8P7I5RIHS07ZEI2V87,white,normal,05/11/2018@17:12:19,female,not_hispanic,864
1280,675,A1EN8PN346P09T,22,20.7201166667,,1230,39KFRKBFIOFYXBP3HJUXWL1TB47YOL,white,corrected,05/11/2018@14:13:03,female,not_hispanic,800
1366,675,A2L22HZ50T83UK,28,19.8089333333,,1282,39U1BHVTDMBDU0XNOFN601B31BTT3W,white,normal,05/11/2018@22:50:29,female,not_hispanic,768
